QuebecoisFrancophile,Atlanta,Georgia, male , 65+ ,"['atlanta', ' ga', 'boston', ' ma', 'washington dc', ' dc', 'dublin', 'norcross', ' ga', 'chicago', ' il', 'duluth', ' ga', 'montreal', ' quebec', 'st albans', 'bratislava', 'brussels', 'bruges']","[' usa', ' ireland', ' canada', ' uk', ' slovakia', ' belgium']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,4 of 5 stars,"The tour highlights the Old French and the ""British"" (Anglo) quarters that defines much of the architecture, location and history on land and takes one into the St Lawrence and along the quays with beautiful views of the CITY SKYLINE, with the great cross on Mont Real centered in the distance between the spires of the Basilica. The trips go through the day in fill up quickly. Lasts 90 minutes. Somewhat pricier than other tours..but lasts twice as long (e.g. of the quick boat tours)"
stosito,Montreal,Canada, male , 50-64 ,"['cabo san lucas', 'new york city', ' ny', 'montreal', ' quebec', 'bangkok', 'singapore', 'venice', 'washington dc', ' dc', 'halong bay', 'hong kong', 'orlando', ' fl', 'san francisco', ' ca', 'brooklyn', ' ny']","[' mexico', ' usa', ' canada', ' thailand', ' singapore', ' italy', ' vietnam', ' china']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,4 of 5 stars,"for $ 85 / 3 people a unique way to view the old city. This amphibious vehicle goes on land and in water, and gives the tourist a general/historical prospective of the city. With the help of a bilingual tour guide we were taken for an 1hr and 15mins ride . Make sure to bring a lot of bottled water for this hot mid summer excursion on this ship, because the A/C stop functioning."
thehippoguy,Plantation,Florida,,,"['montreal', ' quebec', 'quebec city', ' quebec', 'cozumel', 'kissimmee', ' fl', 'berlin', 'boleslawiec', 'innsbruck', 'key west', ' fl', 'orlando', ' fl', 'plymouth', ' nh', 'prague', ""saint-jean-de-l'ile-d'orleans"", ' quebec']","[' canada', ' mexico', ' usa', ' germany', ' poland', ' austria', ' czech republic']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,5 of 5 stars,"This tour was great! Benoit was the PERFECT tour guide. He had just the right mix of information and humor. He fluidly went from English to French with all of the information. For the price, I do wish the tour was slightly longer, but it seemed to cover all the major places and buildings for a quick, fun, overview of the city,"
mschoenmd,White Plains,New York,,,"['istanbul', 'quebec city', ' quebec', 'san francisco', ' ca', 'white plains', ' ny', 'bronx', ' ny', 'carmel', ' ca', 'edgartown', ' ma', 'key west', ' fl', 'monterey', ' ca', 'montreal', ' quebec', 'mount kisco', ' ny', 'tarrytown', ' ny']","[' turkey', ' canada', ' usa']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,4 of 5 stars,"
First a tour of old Montreal by bus. But then --- you literally drive into the St. Lawrence River and get a look at all of Montreal by ""boat"". Well worth it to get an overview of this lovely city.
"
MelyndaSinz,Chicago,IL,,,"['montreal', ' quebec', 'las vegas', ' nv', 'new york city', ' ny', 'wildwood', ' nj', 'wildwood crest', ' nj', 'albuquerque', ' nm', 'athens', ' oh', 'atlanta', ' ga', 'bar harbor', ' me', 'boston', ' ma', 'camden', ' me', 'cape may', ' nj']","[' canada', ' usa']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,"I spent the morning here on my birthday and loved the facial I received. It was the cocoa bliss facial and my technician was superb. The staff at the front desk was excellent. I admit that I am not fluent in french and the directions they gave me were a bit confusing (i.e. locker rooms, what to wear to your treatment, etc) but I managed. It is an incredible experience. Next time, I would bring a bathing suit. They are currently constructing a new graden/pool area adjacent to the barge. Fun and unique!"
Nitina0721,Calgary,Canada,,,"['calgary', ' alberta', 'bragg creek', ' alberta', 'montreal', ' quebec', 'vancouver', ' british columbia', 'cochrane', ' alberta', 'osoyoos', ' british columbia']",[' canada'],[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,"We stayed in old Montreal several times and I love everything about it. When we were told of this new spa on a boat, quite honestly we thought it was going to be gimmicky. Having indulged in massages around the world, I would say the expert massage therapist was probably one of the best we have ever experienced! The facilities and service surpassed our expectations. We will definitely be back and send our friends and family! I would say this is a must do while visiting Montreal."
Pupina4,Canada,Canada,,,"['montreal', ' quebec', 'tampa', ' fl', 'merrimack', ' nh', 'orlando', ' fl', 'carlstadt', ' nj', 'cayo coco', 'clearwater', ' fl', 'madeira beach', ' fl', 'secaucus', ' nj', 'aruba', 'barbados', 'bayahibe']","[' canada', ' usa', ' cuba', ' caribbean', ' dominican republic']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,"If you enjoy""cruise"" like feel and you love nautical experiences, this is the spa for you. I had a WOW experience from beginning to end. From the front desk dressed in nautical wear, to the massage rooms offering great st-Lawrence views - you really get transported in the experience. the massage was great, the different hot and cold spa areas were unique and you can even grab a cocktail outside deck. Splpendid, great job Bota Bota!"
samirmichael,,,,,"['montreal', ' quebec']",[' canada'],[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,1 of 5 stars,"Love the place but the staff are verybad , big time attitude not even a smile at you , u feel like they dont wanna be there and have no respect to consumers what so ever
never again."
Doobydom,,,,,"['new york city', ' ny', 'montreal', ' quebec']","[' usa', ' canada']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,4 of 5 stars,"A very nice place specially by night. From here you can have a wonderful sight of the town. Even if the air is cold, you are in a warm pool, below the stars."
nevels2000,Memphis,Tennessee, male , 35-49 ,"['big sur', ' ca', 'new york city', ' ny', 'omaha', ' ne', 'denver', ' co', 'montreal', ' quebec', 'santa cruz', ' ca', 'virgin islands national park', 'las vegas', ' nv', 'memphis', ' tn', 'philadelphia', ' pa', 'santa monica', ' ca', 'seattle', ' wa']","[' usa', ' canada', ' u.s. virgin islands']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,My wife and I made a 10 am reservation on a Saturday for a 60 minute message and the water circuit. We had a total of 3 hours to relax onsite. It was heavenly. We took a nap in the hammocks in between going from the hot tubs/sauna/spas to the cold pools. We had nothing but a great experience with all of the staff. When our time was up 1 pm we had lunch onsite. Lunch was okay but we were just glad to extend our time on the boat. It did start to get more crowded after 12 but I still enjoyed the vibe. This will be a must do on my list everytime I visit Montreal. Feel free to bring a book to read while you relax.
